Player,Competetion,season,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_y,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x.1,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Home
Dani Alves,La-Liga,2021-2022,br BRA,RB,38-247,90,0,1,0,0,0,0,0,0,72,3,0,2,0,0,0.2,4,1,54,65,83.1,5,30,2,0,0,,,,,,,,,,,,,,,,,,,,,Cádiz
Dani Ceballos,La-Liga,2021-2022,es ESP,RM,25-154,21,0,0,0,0,0,0,0,0,17,1,0,1,0,0,0,0,0,13,14,92.9,0,13,0,0,0,,,,,,,,,,,,,,,,,,,,,Levante
Gonzalo Escalante,La-Liga,2021-2022,ar ARG,RM,28-288,50,0,0,0,0,1,0,0,0,33,0,2,1,0,0,0,0,0,18,24,75,1,16,0,1,0,,,,,,,,,,,,,,,,,,,,,Sevilla
Fede San Emeterio,La-Liga,2021-2022,es ESP,CM,24-308,90,0,0,0,0,0,0,0,0,44,4,1,0,0,0,0,1,0,25,35,71.4,1,14,0,0,0,,,,,,,,,,,,,,,,,,,,,Valencia
Raúl Parra,La-Liga,2021-2022,es ESP,RB,22-053,13,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,6,9,66.7,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,Valencia
Iker Benito,La-Liga,2021-2022,es ESP,RW,19-162,13,0,0,0,0,0,0,1,0,12,0,0,1,0,0,0,0,0,3,5,60,0,4,0,3,1,,,,,,,,,,,,,,,,,,,,,Real Madrid
Cristhian Mosquera,La-Liga,2021-2022,es ESP,CB,17-206,45,0,0,0,0,0,0,0,0,18,1,2,1,0,0,0,0,0,8,11,72.7,2,9,0,0,0,,,,,,,,,,,,,,,,,,,,,Atlético Madrid
Jaume Doménech,La-Liga,2021-2022,es ESP,GK,31-075,73,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,15,23,65.2,0,12,0,0,0,2,0,2,100,0.1,7,14,50,16,1,50,39.9,7,85.7,55.3,8,0,0,1,9.3,Atlético Madrid
Javier Díaz,La-Liga,2021-2022,es ESP,GK,24-249,90,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,28,34,82.4,0,26,0,0,0,2,1,1,50,0.6,5,10,50,31,2,25.8,29.1,3,66.7,49.3,17,1,5.9,0,13.7,Rayo Vallecano
Jesús Corona,La-Liga,2021-2022,mx MEX,LW,29-013,17,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0,0,0,5,6,83.3,0,9,0,1,0,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
Borja Mayoral,La-Liga,2021-2022,es ESP,FW,24-290,7,1,0,0,0,1,1,0,0,8,1,0,0,0,0,0,1,1,6,6,100,0,4,1,0,0,,,,,,,,,,,,,,,,,,,,,Elche
Tonny Vilhena,La-Liga,2021-2022,nl NED,RW,27-018,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,100,1,3,1,0,0,,,,,,,,,,,,,,,,,,,,,Betis
Youssouf Sabaly,La-Liga,2021-2022,sn SEN,RB,28-322,90,0,0,0,0,1,0,0,0,59,1,3,0,0,0,0,0,0,38,46,82.6,3,28,4,1,1,,,,,,,,,,,,,,,,,,,,,Celta Vigo
Rubén Alcaraz,La-Liga,2021-2022,es ESP,CM,30-266,30,0,0,0,0,2,0,0,0,21,1,0,0,0.2,0.2,0,2,0,12,16,75,2,9,1,1,1,,,,,,,,,,,,,,,,,,,,,Real Sociedad
Nikita Iosifov,La-Liga,2021-2022,ru RUS,RM,20-286,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,4,50,0,3,0,1,1,,,,,,,,,,,,,,,,,,,,,Mallorca
Luismi,La-Liga,2021-2022,es ESP,RM,20-244,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,33.3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Villarreal
Javier Serrano,La-Liga,2021-2022,es ESP,LM,19-006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Osasuna
Yuri Berchiche,La-Liga,2021-2022,es ESP,FW,31-347,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,100,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,Mallorca
Ferrán Torres,La-Liga,2021-2022,es ESP,RW,21-328,90,0,1,0,0,1,0,0,0,59,0,0,1,0,0,0.5,2,1,41,50,82,3,51,0,2,1,,,,,,,,,,,,,,,,,,,,,Barcelona
Diego Conde,La-Liga,2021-2022,es ESP,GK,23-099,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,,0,0,6,0,4,0,100,61,2,100,68,5,1,20,0,5,Real Madrid
Martín Cáceres,La-Liga,2021-2022,uy URU,CB,34-303,45,0,0,0,0,0,0,0,0,49,0,1,1,0,0,0.1,1,0,41,47,87.2,4,39,1,0,0,,,,,,,,,,,,,,,,,,,,,Valencia
Nahuel Tenaglia,La-Liga,2021-2022,ar ARG,RB,25-349,37,0,0,0,0,0,0,0,0,22,2,1,0,0,0,0,0,0,6,15,40,1,10,0,1,0,,,,,,,,,,,,,,,,,,,,,Betis
Sergio Rico,La-Liga,2021-2022,es ESP,GK,28-157,90,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,10,15,66.7,0,11,0,0,0,5,1,4,80,1.9,3,8,37.5,12,6,41.7,36.4,3,100,57,18,1,5.6,0,9,Sevilla
Vedat Muriqi,La-Liga,2021-2022,xk KVX,FW,27-287,88,1,0,1,1,6,2,0,0,42,0,0,0,1.2,0.4,0,5,1,15,29,51.7,1,27,0,3,1,,,,,,,,,,,,,,,,,,,,,Sevilla
Luis Hernández,La-Liga,2021-2022,es ESP,"RM,CB",32-297,16,0,0,0,0,1,0,0,0,29,0,0,0,0.1,0.1,0,1,0,20,24,83.3,3,19,1,0,0,,,,,,,,,,,,,,,,,,,,,Getafe
Jonás Ramalho,La-Liga,2021-2022,es ESP,RB,28-240,90,0,0,0,0,0,0,0,0,50,3,2,3,0,0,0,0,0,18,34,52.9,2,20,1,2,0,,,,,,,,,,,,,,,,,,,,,Osasuna
Anthony Martial,La-Liga,2021-2022,fr FRA,"LW,AM",26-062,76,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,34,39,87.2,0,36,4,4,2,,,,,,,,,,,,,,,,,,,,,Cádiz
Bryan Gil,La-Liga,2021-2022,es ESP,"FW,LM,RM",20-360,90,0,0,0,0,4,1,0,0,41,0,1,2,0.3,0.3,0.5,3,0,16,29,55.2,4,27,0,5,2,,,,,,,,,,,,,,,,,,,,,Villarreal
Eray Cömert,La-Liga,2021-2022,ch SUI,CB,24-002,69,0,0,0,0,1,0,0,0,22,2,1,0,0.1,0.1,0,0,0,11,15,73.3,1,14,1,0,0,,,,,,,,,,,,,,,,,,,,,Villarreal
Ilaix Moriba,La-Liga,2021-2022,gn GUI,CM,19-018,69,0,0,0,0,1,0,1,0,31,4,2,1,0,0,0,1,0,13,17,76.5,1,17,0,1,0,,,,,,,,,,,,,,,,,,,,,Villarreal
Adama Traoré,La-Liga,2021-2022,es ESP,RW,26-012,60,0,1,0,0,1,0,0,0,31,1,2,1,0.1,0.1,0.1,3,1,20,25,80,3,19,2,5,2,,,,,,,,,,,,,,,,,,,,,Espanyol
Pierre-Emerick Aubameyang,La-Liga,2021-2022,ga GAB,FW,32-233,30,0,0,0,0,1,0,0,0,22,0,0,2,0,0,0,0,0,10,13,76.9,2,6,2,1,0,,,,,,,,,,,,,,,,,,,,,Espanyol
Reinildo Mandava,La-Liga,2021-2022,mz MOZ,LB,28-016,36,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1,0,20,25,80,2,18,2,2,1,,,,,,,,,,,,,,,,,,,,,Elche
Matias Arezo,La-Liga,2021-2022,uy URU,LM,19-077,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,33.3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,Villarreal
Myrto Uzuni,La-Liga,2021-2022,al ALB,LM,26-251,79,0,0,0,0,1,1,0,0,14,1,2,0,0.3,0.3,0,0,0,7,8,87.5,0,10,0,1,1,,,,,,,,,,,,,,,,,,,,,Villarreal
Njegoš Petrovi?,La-Liga,2021-2022,rs SRB,CM,22-203,20,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,11,11,100,0,10,1,0,0,,,,,,,,,,,,,,,,,,,,,Villarreal
Kike Pérez,La-Liga,2021-2022,es ESP,CM,24-362,17,0,0,0,0,0,0,0,0,13,1,0,2,0,0,0.1,1,0,8,10,80,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,Espanyol
Giovani Lo Celso,La-Liga,2021-2022,ar ARG,FW,25-309,86,0,0,0,0,3,1,0,0,67,3,0,0,0.1,0.1,0.2,2,0,45,55,81.8,2,42,2,5,4,,,,,,,,,,,,,,,,,,,,,Valencia
Giovanni González,La-Liga,2021-2022,uy URU,RM,27-147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Atlético Madrid
Ezequiel Ponce,La-Liga,2021-2022,ar ARG,FW,24-326,24,1,0,0,0,2,2,0,0,9,0,0,0,1,1,0,1,1,3,5,60,0,5,0,2,2,,,,,,,,,,,,,,,,,,,,,Real Madrid
José Mari,La-Liga,2021-2022,es ESP,CM,34-075,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,7,12,58.3,1,2,1,0,0,,,,,,,,,,,,,,,,,,,,,Alavés
Ander Martin,La-Liga,2021-2022,es ESP,LM,21-096,18,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0.1,1,0,5,8,62.5,0,9,1,3,0,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
Orbelín Pineda,La-Liga,2021-2022,mx MEX,LM,25-334,28,0,0,0,0,4,1,0,0,22,0,0,0,0.5,0.5,0,2,0,12,14,85.7,1,15,1,0,0,,,,,,,,,,,,,,,,,,,,,Osasuna
Alex Sola,La-Liga,2021-2022,es ESP,"LB,RW",22-263,20,0,0,0,0,1,0,0,0,15,1,1,0,0.1,0.1,0,0,0,6,9,66.7,2,5,1,2,2,,,,,,,,,,,,,,,,,,,,,Cádiz
Asier Illarramendi,La-Liga,2021-2022,es ESP,DM,31-356,70,0,0,0,0,0,0,0,0,81,2,0,0,0,0,0,1,0,64,72,88.9,6,37,0,3,1,,,,,,,,,,,,,,,,,,,,,Cádiz
Gonzalo Villar,La-Liga,2021-2022,es ESP,CM,23-347,10,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,1,0,6,7,85.7,3,6,0,3,3,,,,,,,,,,,,,,,,,,,,,Granada
Joan García,La-Liga,2021-2022,es ESP,GK,20-312,18,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,8,62.5,0,1,0,0,0,1,1,0,0,0.2,3,6,50,6,1,66.7,47,2,100,71,7,0,0,0,3,Getafe
Lucas Olaza,La-Liga,2021-2022,uy URU,LM,27-234,5,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,1,0,11,15,73.3,1,5,0,0,0,,,,,,,,,,,,,,,,,,,,,Alavés
Carmona,La-Liga,2021-2022,es ESP,CB,20-043,24,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,1,0,7,13,53.8,1,4,1,1,1,,,,,,,,,,,,,,,,,,,,,Mallorca
Clément Grenier,La-Liga,2021-2022,fr FRA,CM,31-066,5,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,8,8,100,1,4,0,1,0,,,,,,,,,,,,,,,,,,,,,Levante
Oier Olazábal,La-Liga,2021-2022,es ESP,GK,32-187,45,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,4,16,25,0,7,0,0,0,3,0,3,100,0.5,1,13,7.7,11,1,72.7,51.5,5,100,59.8,15,0,0,0,,Sevilla
Raúl,La-Liga,2021-2022,es ESP,"LW,LB",21-151,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Valencia
Jesús Santiago,La-Liga,2021-2022,es ESP,DM,17-329,36,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,8,11,72.7,1,7,0,0,0,,,,,,,,,,,,,,,,,,,,,Real Sociedad
Giuliano Simeone,La-Liga,2021-2022,ar ARG,RM,19-123,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,3,33.3,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,Real Madrid
Marcelo Saracchi,La-Liga,2021-2022,uy URU,LB,23-363,14,0,0,0,0,0,0,0,0,12,2,1,0,0,0,0,0,0,8,9,88.9,0,8,0,0,0,,,,,,,,,,,,,,,,,,,,,Celta Vigo
Mario Gila,La-Liga,2021-2022,es ESP,CB,21-244,16,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,13,16,81.3,0,9,0,1,1,,,,,,,,,,,,,,,,,,,,,Barcelona
Barcia,La-Liga,2021-2022,es ESP,CB,21-121,75,0,0,0,0,0,0,0,0,26,0,1,1,0,0,0,0,0,8,22,36.4,0,10,1,0,0,,,,,,,,,,,,,,,,,,,,,Cádiz
Tomás Mendes,La-Liga,2021-2022,es ESP,CM,17-167,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,5,80,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,Valencia
Andriy Lunin,La-Liga,2021-2022,ua UKR,GK,23-086,90,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,41,43,95.3,0,20,0,0,0,2,1,1,100,1.3,4,5,80,30,7,6.7,22.4,13,23.1,35.8,13,1,7.7,0,10,Osasuna
Marc Tenas,La-Liga,2021-2022,es ESP,AM,20-346,15,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0.2,2,0,4,4,100,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,Sevilla
Alejandro Asensio,La-Liga,2021-2022,es ESP,LW,21-240,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,1,1,100,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Betis
Daniel Villahermosa,La-Liga,2021-2022,es ESP,CM,21-132,23,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,7,57.1,1,9,1,1,1,,,,,,,,,,,,,,,,,,,,,Atlético Madrid
Mario Dominguez,La-Liga,2021-2022,es ESP,FW,18-093,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Granada
Mika Mármol,La-Liga,2021-2022,es ESP,LB,20-318,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,5,80,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,Getafe
John Donald,La-Liga,2021-2022,es ESP,CB,21-258,90,0,0,0,0,0,0,0,0,59,4,2,4,0,0,0,0,0,38,47,80.9,4,26,1,0,0,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
Alejandro Primo,La-Liga,2021-2022,es ESP,GK,17-309,90,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,20,25,80,0,13,0,0,0,2,1,1,50,0.8,2,6,33.3,17,0,29.4,31.2,8,12.5,20.9,19,0,0,0,15,Cádiz
Ander Capa,La-Liga,2021-2022,es ESP,RB,30-096,4,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,2,50,1,3,1,0,0,,,,,,,,,,,,,,,,,,,,,Barcelona
Omar Faraj,La-Liga,2021-2022,ps PLE,FW,20-072,4,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,Villarreal
Unai Ropero,La-Liga,2021-2022,es ESP,AM,20-183,12,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,100,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,Elche
Luca Koleosho,La-Liga,2021-2022,it ITA,FW,17-249,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,100,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,Celta Vigo
