Player,Competetion,season,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_y,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x.1,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Home
Sergio Santos,La-Liga,2021-2022,es ESP,RB,20-262,11,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.1,2,0,8,8,100,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,Levante
Antonio Sánchez,La-Liga,2021-2022,es ESP,"LW,DM",24-264,32,0,0,0,0,1,1,0,0,19,1,0,0,0.3,0.3,0,4,0,12,15,80,1,13,1,0,0,,,,,,,,,,,,,,,,,,,,,Celta Vigo
Josep Antoni Gayá,La-Liga,2021-2022,es ESP,CB,21-077,58,0,0,0,0,0,0,0,0,36,0,1,1,0,0,0,0,0,23,28,82.1,0,15,1,0,0,,,,,,,,,,,,,,,,,,,,,Celta Vigo
Kike Hermoso,La-Liga,2021-2022,es ESP,CB,22-044,90,1,0,0,0,2,1,0,0,73,2,0,2,0.2,0.2,0,0,0,50,60,83.3,0,48,1,1,1,,,,,,,,,,,,,,,,,,,,,Rayo Vallecano
Igor Zubeldia,La-Liga,2021-2022,es ESP,"CB,FW",24-177,15,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,7,71.4,1,4,0,0,0,,,,,,,,,,,,,,,,,,,,,Valencia
Mathew Ryan,La-Liga,2021-2022,au AUS,GK,29-168,90,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,22,30,73.3,0,19,0,0,0,2,2,0,50,1.3,5,13,38.5,25,4,36,35.5,5,80,57.8,10,0,0,3,21.4,Valencia
Saúl García,La-Liga,2021-2022,es ESP,LM,26-320,4,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,3,33.3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Villarreal
Tachi,La-Liga,2021-2022,es ESP,"CB,LB",24-015,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,Villarreal
Felipe,La-Liga,2021-2022,br BRA,CB,32-132,90,0,0,0,0,0,0,0,0,81,0,1,1,0,0,0,0,0,61,72,84.7,3,48,0,0,0,,,,,,,,,,,,,,,,,,,,,Elche
Jasper Cillessen,La-Liga,2021-2022,nl NED,GK,32-156,90,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,19,31,61.3,0,21,0,0,0,4,1,3,75,0.9,14,26,53.8,26,3,80.8,50.8,5,100,69.4,18,0,0,0,19,Real Madrid
